City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
198,northam,51.0333,-4.2167,3.78,96,11,0.89,GB,1737591943
199,udachny,66.4167,112.4,-20.64,98,100,1.67,RU,1737591855
200,wamba,8.9333,8.6,23.9,19,2,2.31,NG,1737591945
201,pointe-du-lac,46.2869,-72.6845,-12.05,57,100,4.12,CA,1737591947
202,uzundere,40.5301,41.5584,-1.2,74,100,2.27,TR,1737591948
203,fuglafjordur,62.244,-6.814,4.2,79,91,7.38,FO,1737591949
204,hamilton,39.1834,-84.5333,-6.46,51,40,4.47,US,1737591871
205,broome,42.2506,-75.833,-10.24,49,100,4.12,US,1737591951
206,hakkari,37.5833,44.1667,-13.12,92,75,0.51,TR,1737591952
207,ullal,12.8,74.85,23.53,88,20,1.54,IN,1737591953
208,simanggang,1.2472,111.4528,23.99,94,20,0.51,MY,1737591954
209,yuzhno-kurilsk,44.0306,145.8556,-0.51,79,80,3.49,RU,1737591956
210,hawaiian paradise park,19.5933,-154.9731,28.26,61,0,4.12,US,1737591957
211,saipan,15.1355,145.701,31.39,73,40,9.26,MP,1737591845
212,kogalym,62.2654,74.4791,-26.56,86,100,11.3,RU,1737591959
213,kaga bandoro,6.9896,19.1874,25.82,24,60,1.31,CF,1737591832
214,rujewa,-8.7,34.3833,18.17,95,100,0.79,TZ,1737591961
215,gaspe,48.8334,-64.4819,-16.88,55,0,3.6,CA,1737591962
216,richards bay,-28.783,32.0377,22.41,93,95,2.55,ZA,1737591688
217,belmonte,-15.8631,-38.8828,25.91,87,0,3.82,BR,1737591965
218,palo santo,-25.5633,-59.3378,31.24,40,22,1.4,AR,1737591966
219,sambava,-14.2667,50.1667,23.72,90,62,2.32,MG,1737591967
220,fomboni,-12.28,43.7425,28.26,77,89,4.26,KM,1737591968
221,nemuro,43.3236,145.575,0.36,77,53,3.08,JP,1737591969
222,binh long,11.6512,106.6071,20.5,83,100,0.3,VN,1737591970
223,antofagasta,-23.65,-70.4,21.6,79,11,0.92,CL,1737591723
224,san pedro pochutla,15.7333,-96.4667,27.84,53,4,2.48,MX,1737591972
225,nambucca heads,-30.65,153.0,23.55,73,79,3.64,AU,1737591973
226,kamennomostskiy,44.2983,40.1856,2.32,86,100,1.65,RU,1737591976
227,mount pearl,47.5166,-52.7813,-9.36,68,100,7.2,CA,1737591977
228,balabac,7.9868,117.0645,27.0,82,100,5.83,PH,1737591978
229,iskateley,67.6803,53.1512,-19.45,96,99,4.54,RU,1737591979
230,pariaman,-0.619,100.12,25.03,85,100,1.91,ID,1737591980
231,maharajgani,26.1167,84.4833,11.63,65,0,0.86,IN,1737591981
232,antsiranana,-12.2787,49.2917,23.77,88,93,1.76,MG,1737591983
233,ginir,7.1333,40.7,13.66,21,61,2.1,ET,1737591984
234,palmares do sul,-30.2578,-50.5097,23.62,82,0,5.33,BR,1737591985
235,nyurba,63.2842,118.3319,-7.9,95,96,3.03,RU,1737591986
236,padre paraiso,-17.0742,-41.4844,23.53,75,91,1.54,BR,1737591987
237,post,33.1909,-101.3782,8.87,25,2,5.25,US,1737591988
238,tindouf,27.6711,-8.1474,14.05,20,0,3.01,DZ,1737591989
239,ancud,-41.8697,-73.8203,13.28,96,100,6.93,CL,1737591990
240,comandante fontana,-25.3345,-59.6821,30.94,44,47,2.48,AR,1737591992
241,corning,42.1428,-77.0547,-9.41,47,100,0.45,US,1737591993
242,avsallar,36.616,31.7806,12.03,83,100,1.86,TR,1737591994
243,qarazhal,48.0078,70.7903,-27.73,97,80,4.2,KZ,1737591995
244,ta`u,-14.2336,-169.5144,28.06,78,16,7.71,AS,1737591996
245,linxia chengguanzhen,35.6003,103.2064,-2.75,59,70,0.19,CN,1737591998
246,vila do maio,15.1333,-23.2167,22.06,69,23,8.83,CV,1737591999
247,lingig,8.0389,126.4125,25.55,82,97,0.5,PH,1737592001
248,kokemaki,61.2565,22.3564,-5.3,99,89,0.72,FI,1737592002
249,villamontes,-21.25,-63.5,22.47,79,86,1.89,BO,1737592003
250,vytegra,61.0064,36.4481,-3.52,91,100,4.3,RU,1737592004
251,papao,-17.75,-149.55,30.82,77,41,7.06,PF,1737592006
252,kapuskasing,49.4169,-82.4331,-13.0,85,100,2.06,CA,1737591721
253,westerland,54.9079,8.3033,2.01,100,100,4.63,DE,1737592008
254,kyelang,32.5833,77.0333,-17.07,98,46,0.86,IN,1737592009
255,yen vinh,18.6667,105.6667,15.86,96,77,1.5,VN,1737592010
